ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
43759,/p1975/m43759,"ד""ר בת־שבע יוניס",דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43760,/p1975/m43760,פניה מטמון־כהן,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43761,/p1975/m43761,חנה נדיבי־פרנקל,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43762,/p1975/m43762,שרה־בליומה סמילנסקי,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43763,/p1975/m43763,מיכל פלמן,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43764,/p1975/m43764,חנה צ'יז'יק,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43765,/p1975/m43765,"ד""ר מרים קיסילובה־סמילנסקי",דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43766,/p1975/m43766,צפורה קלוזנר,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43767,/p1975/m43767,רבקה שרמן,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43768,/p1975/m43768,"ד""ר אריה אורן",דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43769,/p1975/m43769,דוד איזמוז'יק,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
43770,/p1975/m43770,אריה־ליב אסתרמן,דוד סמילנסקי ,"",https://wikidata.org/wiki/Q7046816,"","",Translation missing: he.article,"תל אביב: הועד הציבורי להוצאת כתביו של דוד סמילנסקי ז""ל והוצאת מסדה"
